600362-600018,OpenTime,201401281111,CloseTime,201401290942,Buy:600362,13.570000,13.640000,earnings:,0.005158,Sell:600018,5.150000,5.020000,earnings:,0.024552,all earnings, 0.015061
600362-600018,OpenTime,201402111007,CloseTime,201402111332,Buy:600362,13.620000,13.890000,earnings:,0.019824,Sell:600018,5.170000,5.100000,earnings:,0.013169,all earnings, 0.016725
600900-000783,OpenTime,201401130938,CloseTime,201401221054,Sell:600900,5.980000,6.050000,earnings:,-0.011706,Buy:000783,9.270000,9.650000,earnings:,0.052443,all earnings, 0.017872
600900-000783,OpenTime,201401301448,CloseTime,201402100950,Sell:600900,6.000000,6.000000,earnings:,0.000000,Buy:000783,9.300000,9.610000,earnings:,0.042644,all earnings, 0.018709
600900-000783,OpenTime,201401020931,CloseTime,201401060935,Buy:600900,6.290000,6.140000,earnings:,-0.023847,Sell:000783,10.350000,9.760000,earnings:,0.072928,all earnings, 0.021533
600900-000783,OpenTime,201401061115,CloseTime,201401100937,Buy:600900,6.020000,5.910000,earnings:,-0.018272,Sell:000783,9.900000,9.450000,earnings:,0.058151,all earnings, 0.017496
600900-000783,OpenTime,201402111037,CloseTime,201402181119,Buy:600900,6.030000,5.950000,earnings:,-0.013267,Sell:000783,9.900000,9.520000,earnings:,0.049106,all earnings, 0.015723
600018-600016,OpenTime,201401071039,CloseTime,201401081417,Sell:600018,5.270000,5.000000,earnings:,0.051233,Buy:600016,7.330000,7.340000,earnings:,0.001553,all earnings, 0.024689
600018-600016,OpenTime,201401241049,CloseTime,201401291015,Sell:600018,5.030000,4.990000,earnings:,0.007952,Buy:600016,7.080000,7.320000,earnings:,0.038578,all earnings, 0.021763
600018-600016,OpenTime,201401061026,CloseTime,201401071034,Buy:600018,4.800000,5.020000,earnings:,0.045833,Sell:600016,7.380000,7.310000,earnings:,0.010794,all earnings, 0.026486
600585-000789,OpenTime,201401020931,CloseTime,201401021434,Sell:600585,16.910000,16.480000,earnings:,0.025429,Buy:000789,9.460000,9.640000,earnings:,0.013845,all earnings, 0.022733
600585-000789,OpenTime,201401171058,CloseTime,201401210932,Sell:600585,16.280000,15.810000,earnings:,0.028870,Buy:000789,9.080000,9.120000,earnings:,0.003205,all earnings, 0.018566
600585-000789,OpenTime,201402100931,CloseTime,201402131300,Sell:600585,16.820000,16.760000,earnings:,0.003567,Buy:000789,9.450000,9.850000,earnings:,0.030800,all earnings, 0.019892
600585-000789,OpenTime,201401060932,CloseTime,201401150931,Buy:600585,15.550000,15.830000,earnings:,0.018006,Sell:000789,9.330000,9.070000,earnings:,0.020277,all earnings, 0.022160
600720-000012,OpenTime,201402070935,CloseTime,201402180944,Sell:600720,6.770000,6.960000,earnings:,-0.028065,Buy:000012,7.840000,8.520000,earnings:,0.071539,all earnings, 0.023824
600720-000012,OpenTime,201401140931,CloseTime,201401220931,Buy:600720,6.080000,6.600000,earnings:,0.085526,Sell:000012,7.650000,7.780000,earnings:,-0.014016,all earnings, 0.039188
600104-000630,OpenTime,201401081307,CloseTime,201401130937,Sell:600104,13.400000,13.050000,earnings:,0.026119,Buy:000630,9.050000,9.120000,earnings:,0.005733,all earnings, 0.018294
600104-000630,OpenTime,201402101007,CloseTime,201402130943,Sell:600104,13.500000,13.400000,earnings:,0.007407,Buy:000630,9.140000,9.450000,earnings:,0.025138,all earnings, 0.018692
600104-000630,OpenTime,201401031309,CloseTime,201401070952,Buy:600104,13.390000,13.170000,earnings:,-0.016430,Sell:000630,9.880000,9.230000,earnings:,0.048760,all earnings, 0.018568
600104-000630,OpenTime,201401201043,CloseTime,201401230950,Buy:600104,12.500000,13.180000,earnings:,0.054400,Sell:000630,8.990000,9.230000,earnings:,-0.019786,all earnings, 0.019880
601377-000776,OpenTime,201401171315,CloseTime,201401240933,Sell:601377,9.280000,9.300000,earnings:,-0.002155,Buy:000776,11.480000,11.910000,earnings:,0.035065,all earnings, 0.016997
601377-000776,OpenTime,201401020934,CloseTime,201401101057,Buy:601377,9.440000,9.000000,earnings:,-0.046610,Sell:000776,12.460000,11.490000,earnings:,0.072878,all earnings, 0.013567
000783-000768,OpenTime,201401020931,CloseTime,201401030957,Sell:000783,10.350000,10.050000,earnings:,0.028986,Buy:000768,9.510000,9.640000,earnings:,0.012692,all earnings, 0.021612
000783-000768,OpenTime,201401241315,CloseTime,201401290937,Sell:000783,9.840000,9.540000,earnings:,0.030488,Buy:000768,9.050000,9.140000,earnings:,0.009233,all earnings, 0.020597
601168-000768,OpenTime,201401141113,CloseTime,201401150958,Sell:601168,5.180000,5.150000,earnings:,0.005792,Buy:000768,8.770000,9.000000,earnings:,0.032313,all earnings, 0.017071
601168-000768,OpenTime,201401171454,CloseTime,201401300948,Sell:601168,5.130000,5.270000,earnings:,-0.027290,Buy:000768,8.700000,9.190000,earnings:,0.069395,all earnings, 0.018863
601168-000768,OpenTime,201401021038,CloseTime,201401060959,Buy:601168,5.340000,5.310000,earnings:,-0.005618,Sell:000768,9.580000,9.250000,earnings:,0.042442,all earnings, 0.016498
601168-000768,OpenTime,201402100938,CloseTime,201402130959,Buy:601168,5.360000,5.490000,earnings:,0.024254,Sell:000768,9.630000,9.510000,earnings:,0.015353,all earnings, 0.017744
