600694-000417,0.959685,1.618181,0.018666,:,1.630338,0.060334,4.671200
600694-600369,0.872065,1.364028,0.028356,:,1.858346,0.031930,3.144596
000651-000417,0.907551,1.806928,0.022023,:,1.642886,0.055839,3.784320
600251-600141,0.798752,0.727585,0.020026,:,1.537643,0.051207,4.045868
600251-002092,0.931266,1.181659,0.016112,:,1.615337,0.050372,4.499738
600219-000826,0.810305,-1.219216,0.028804,:,1.691524,0.044829,3.303880
600170-000789,0.839464,-0.076871,0.024118,:,1.614382,0.104589,3.063794
600170-000651,0.892834,-1.240463,0.027170,:,1.526569,0.093263,3.067448
002378-000027,0.777829,1.550315,0.019858,:,1.614478,0.035433,5.185056
601388-002378,0.725810,0.155658,0.029153,:,1.568441,0.090447,3.034482
600219-002378,1.147617,-1.658822,0.020001,:,1.367370,0.036244,6.321758
600060-002378,0.872832,-0.060431,0.022967,:,1.607581,0.043189,5.122230
600720-000012,0.846620,0.137330,0.027249,:,1.707187,0.048613,4.601343
600188-600123,1.031345,-0.282422,0.020117,:,1.682552,0.073206,3.002861
600059-000858,0.929819,-0.286269,0.021495,:,1.805700,0.056278,4.046663
600611-000012,0.905135,-0.088114,0.026642,:,1.731689,0.038529,3.876269
600585-000012,0.887829,0.939231,0.029605,:,1.649359,0.056711,2.821944
601168-600086,0.774091,-0.542589,0.026883,:,1.745594,0.055831,3.097642
000792-000630,1.063978,0.363516,0.022416,:,1.738950,0.051914,3.088138
000792-000338,1.001955,-0.150631,0.023093,:,1.669097,0.071977,3.108690
600362-000792,1.122140,-0.475215,0.026497,:,1.538779,0.049357,3.553517
601628-000792,0.985506,-0.049496,0.025699,:,1.513810,0.051414,3.801995
600837-000792,0.824041,0.095194,0.028677,:,2.099969,0.029898,4.378356
000792-000655,0.868177,1.058421,0.019034,:,1.704298,0.060111,4.896333
601166-000792,0.995828,-0.477599,0.026543,:,1.603189,0.067366,3.473249
601318-600000,0.796642,1.908888,0.024269,:,1.650803,0.057557,2.831932
600000-000027,0.800883,0.894117,0.020694,:,1.589039,0.047801,4.069142
600000-000783,0.819048,0.383227,0.029540,:,1.782323,0.041428,3.323418
600015-600000,0.823183,0.246666,0.027035,:,1.594919,0.115645,2.804219
600900-600000,0.843869,-0.075773,0.020879,:,1.742674,0.043112,3.536956
600362-600000,0.737147,0.986498,0.025040,:,1.426230,0.323237,3.564996
601006-600000,0.902027,-0.023329,0.017917,:,1.476711,0.075236,6.271793
601168-600000,0.752741,0.000982,0.023854,:,1.667429,0.034996,3.645358
600000-000858,1.008617,-0.517075,0.024252,:,1.701279,0.075806,3.757618
601166-600000,0.714871,0.683062,0.026825,:,1.484871,0.056016,2.825411
600655-002155,0.954004,0.059023,0.029476,:,1.657785,0.043458,3.859947
601318-000783,0.915590,1.614872,0.028167,:,1.699450,0.055295,3.143578
601336-601318,0.702547,0.516239,0.026773,:,1.711426,0.039133,2.554590
601318-600900,0.839271,2.171302,0.022443,:,1.639928,0.062672,3.001312
601857-601318,1.151462,-2.216137,0.027606,:,1.592487,0.098278,4.349668
600675-600108,0.950461,-0.076494,0.025189,:,1.675936,0.031193,6.325078
000731-000581,0.877823,-0.707851,0.029806,:,1.487529,0.052972,4.645743
600739-000540,0.965952,1.145348,0.024566,:,1.497942,0.053549,5.057871
000983-000937,0.930040,0.059925,0.021908,:,1.539681,0.092351,3.618114
600993-000423,0.819385,-0.185135,0.029639,:,1.369309,0.086689,4.818099
000630-000338,0.927663,-0.442155,0.018249,:,1.563168,0.072278,3.129895
601601-000630,0.941181,0.731861,0.025612,:,1.524623,0.060615,3.705374
000758-000630,0.882091,0.371628,0.022865,:,1.634394,0.088680,3.393394
601088-000630,0.855039,0.777120,0.024948,:,1.564471,0.103036,2.673051
