600694-600120,0.746284,1.449859,0.004769,:,7.027636,0.213648,16.417344,0.004769,
600089-000800,0.700066,0.649670,0.008220,:,9.510717,0.585391,15.353844,0.008220,
601318-601038,0.848347,1.744426,0.009218,:,9.742143,0.450532,18.566285,0.009218,
600616-600199,0.720832,0.494961,0.008784,:,7.042935,0.196861,18.162084,0.008784,
000963-000028,0.757465,0.962013,0.004751,:,9.425875,0.437178,19.910807,0.004751,
601038-000921,0.768371,0.474616,0.009009,:,12.595638,0.679463,21.168030,0.009009,
600770-002011,0.728405,0.474656,0.005702,:,11.756169,0.480030,30.997911,0.005702,
600830-002250,0.899744,-0.400089,0.004722,:,11.939413,0.610593,30.250697,0.004722,
600649-000401,0.772318,0.519955,0.007991,:,9.023311,0.491921,23.373877,0.007991,
600481-000581,0.730398,-0.063237,0.001697,:,40.394939,1.613522,74.768578,0.001697,
