600312-000021,1.065381,0.398034,0.006525,:,10.367633,0.690773,21.461118,0.006525
600694-000417,1.094513,1.368761,0.013214,:,4.422756,0.094702,10.603202,0.013214
600694-600120,0.746284,1.449859,0.004769,:,7.027636,0.213648,16.417344,0.004769
600694-002393,0.802438,0.512255,0.006923,:,10.837187,0.239912,20.746653,0.006923
600694-600389,1.257052,-1.106541,0.024893,:,5.551406,0.275465,9.754436,0.024893
600694-600436,1.148136,-1.974128,0.027859,:,5.019484,0.273783,7.580713,0.027859
600694-600486,0.905799,0.213328,0.006286,:,16.962925,1.410132,30.557029,0.006286
000826-000417,0.751558,2.181518,0.009411,:,5.367982,0.189844,12.552655,0.009411
600266-000417,0.933624,0.638545,0.012403,:,4.772167,0.151033,12.848435,0.012403
600120-000417,1.009372,0.731524,0.009080,:,6.834239,0.144488,15.455686,0.009080
600251-600123,0.871424,0.557126,0.004857,:,9.871452,0.313445,20.623315,0.004857
600251-000792,0.805202,0.472112,0.008876,:,6.059268,0.363188,11.502563,0.008876
600251-000630,0.709453,1.077676,0.007522,:,6.835201,0.227772,15.017255,0.007522
600251-600141,0.712297,0.956036,0.008718,:,4.801306,0.162220,10.665216,0.008718
600362-600251,0.836437,0.409615,0.005740,:,8.257718,0.498852,14.720974,0.005740
600251-000758,0.881085,0.555437,0.005106,:,13.520637,0.367934,26.707571,0.005106
600251-600111,0.733176,0.376422,0.006092,:,10.959000,0.393235,23.508692,0.006092
600251-000878,0.798206,1.003474,0.006555,:,8.806487,0.357339,18.903614,0.006555
600251-000960,0.893887,0.556105,0.009377,:,6.318849,0.188404,12.267466,0.009377
600251-000962,0.777432,0.955035,0.008935,:,5.128650,0.113170,12.014284,0.008935
601139-000826,1.122282,-1.865745,0.015076,:,4.558735,0.125338,10.871945,0.015076
000826-000012,0.823229,1.753472,0.007341,:,6.270839,0.204045,15.531706,0.007341
600008-000826,0.830952,-0.977306,0.006707,:,6.725960,0.212037,16.326444,0.006707
600219-000826,0.777193,-1.104123,0.009535,:,5.246231,0.178136,13.720538,0.009535
600874-000826,0.740856,-0.475122,0.003995,:,11.653536,0.295086,20.528137,0.003995
600170-000671,0.702429,0.223323,0.008211,:,7.714400,0.377037,12.905273,0.008211
000671-000540,0.835451,0.785208,0.008295,:,4.512241,0.119029,13.985949,0.008295
000789-000671,0.788427,0.446289,0.009713,:,6.842628,0.370813,11.978235,0.009713
600655-000671,0.761786,0.369121,0.012125,:,5.482622,0.134612,11.048321,0.012125
000625-000581,0.876197,-0.436935,0.011766,:,5.830077,0.174987,10.917386,0.011766
600741-000625,0.930840,0.055985,0.003746,:,11.872950,0.465115,22.967217,0.003746
600104-000625,0.794812,0.739830,0.004247,:,13.811727,0.529753,26.874241,0.004247
600801-000625,0.756387,0.659390,0.011547,:,5.382889,0.150601,10.437122,0.011547
600170-000540,0.708580,0.547217,0.006944,:,8.176611,0.423241,16.147680,0.006944
600655-600170,0.710613,0.828502,0.006682,:,8.319590,0.471458,20.067796,0.006682
601139-002378,1.206280,-1.399666,0.006927,:,7.772907,0.158575,13.487141,0.006927
600219-002378,0.824276,-0.748765,0.005260,:,6.441303,0.528897,12.567991,0.005260
002378-002340,1.066206,0.425714,0.013386,:,5.155491,0.256459,17.399248,0.013386
002378-002011,0.987839,0.748660,0.018675,:,4.972076,0.256072,9.958694,0.018675
000596-000550,1.270749,-0.832686,0.028206,:,7.669683,0.202741,14.369912,0.028206
600893-600118,1.190691,-0.446651,0.011912,:,6.781580,0.760573,15.432978,0.011912
600720-600649,0.887240,0.007093,0.012422,:,6.481935,0.259821,12.697138,0.012422
600720-000651,0.771095,-0.663530,0.013018,:,5.831623,0.362433,11.262011,0.013018
600720-000401,1.208243,-0.664877,0.018217,:,6.582505,0.098818,9.653250,0.018217
600720-600585,1.186703,-1.358324,0.010663,:,8.086877,1.246829,13.063146,0.010663
601139-600008,0.882285,0.382857,0.004835,:,9.301071,0.307642,20.339026,0.004835
601139-600219,0.985729,0.491520,0.003323,:,10.431099,0.288222,29.137186,0.003323
601139-600801,0.789431,0.150176,0.002874,:,18.220108,0.853275,37.577327,0.002874
601139-600874,1.130210,-0.313587,0.014685,:,5.629452,0.083657,12.453364,0.014685
600123-000540,0.769200,1.090310,0.011390,:,5.006863,0.134674,10.430022,0.011390
600123-000630,0.737720,0.779117,0.012340,:,3.525598,0.101990,8.076989,0.012340
600141-600123,0.988492,0.034302,0.004667,:,10.433857,0.407184,17.515474,0.004667
600188-600123,0.920891,-0.016888,0.005311,:,7.807705,0.185917,19.160760,0.005311
600362-600123,1.055236,0.048669,0.015639,:,3.423396,0.103450,6.769072,0.015639
600123-000758,1.047324,-0.092968,0.008605,:,6.617208,0.373946,23.348594,0.008605
600123-000983,0.780696,0.924205,0.008832,:,3.787817,0.123554,6.656620,0.008832
600123-600111,0.835087,-0.186948,0.010178,:,5.613715,0.226475,10.272167,0.010178
600123-000878,0.848349,0.661480,0.013934,:,3.129244,0.068094,8.047549,0.013934
600123-000960,0.867760,0.389357,0.012731,:,4.801282,0.133424,8.442644,0.012731
600900-600089,1.236299,-1.162324,0.017516,:,7.661148,0.250286,12.032149,0.017516
600362-600089,1.053286,0.136403,0.012017,:,8.078851,0.297259,14.983736,0.012017
600547-600089,0.821820,0.992203,0.009344,:,7.043572,0.195603,18.390525,0.009344
600519-600089,1.122802,2.171753,0.012728,:,8.570424,0.187952,16.559391,0.012728
600516-600089,0.798564,0.100612,0.009142,:,8.245561,0.313928,15.987496,0.009142
600089-000800,0.700066,0.649670,0.008220,:,9.510717,0.585391,15.353844,0.008220
601166-600089,1.074258,-0.236991,0.014595,:,5.908379,0.273931,11.143070,0.014595
601377-600895,1.188961,-0.229723,0.023218,:,4.043574,0.093692,10.955210,0.023218
600895-600018,1.039220,0.392711,0.016282,:,6.329326,0.232687,12.432328,0.016282
600895-600770,0.709566,0.613475,0.017839,:,3.453478,0.121518,20.968285,0.017839
600895-600389,0.853464,-0.956256,0.019498,:,3.551838,0.123654,11.149003,0.019498
600895-600830,0.815382,0.184138,0.011786,:,6.545319,0.240718,13.591557,0.011786
600895-600675,0.881762,0.355270,0.010620,:,5.053988,0.320729,20.446573,0.010620
600895-002250,0.950123,-0.800693,0.012670,:,5.622268,0.270505,17.755155,0.012670
600085-000538,0.764615,-0.535103,0.006866,:,8.952872,0.390860,16.943112,0.006866
600422-600085,0.749871,0.874672,0.012527,:,6.311524,0.170152,9.560424,0.012527
600329-600085,0.844656,-0.017366,0.010384,:,8.334062,0.286908,13.869636,0.010384
600655-600086,0.958692,-0.696309,0.011389,:,5.478030,0.128375,11.222851,0.011389
600547-600086,0.900288,0.325967,0.002373,:,16.628257,0.599521,38.607026,0.002373
600086-002237,0.753346,0.967681,0.006092,:,8.149337,0.298669,18.280915,0.006092
601238-000921,0.909580,0.055872,0.012343,:,11.686500,0.175153,16.399537,0.012343
601601-601238,0.706409,1.371497,0.014295,:,4.807784,0.122036,10.124342,0.014295
601336-601238,1.159713,0.641588,0.007622,:,10.400894,0.297102,23.147381,0.007622
601238-601038,1.211449,-0.568187,0.019420,:,6.819460,0.155915,9.869982,0.019420
601238-600104,0.734224,0.184040,0.004292,:,11.668819,0.517250,32.748028,0.004292
601238-600585,0.853493,-0.225947,0.004167,:,17.499841,0.641471,33.369024,0.004167
000937-000792,0.720438,0.089052,0.006916,:,8.377940,0.302351,16.232351,0.006916
000792-000538,0.849925,-1.100272,0.006860,:,10.502017,0.536618,19.097186,0.006860
